beta_deg,theta_deg,range_mm
0.0,138.227,1693.2
0.0,138.919,1718.2
0.0,139.611,1743.2
0.0,140.303,1768.2
0.0,140.995,1797.2
0.0,141.686,1825.2
0.0,142.377,1856.2
0.0,143.069,1888.2
0.0,143.761,1918.2
0.0,144.452,1953.2
0.0,145.143,1988.2
0.0,145.833,2027.2
0.0,146.541,2066.2
0.0,147.233,2111.2
0.0,147.931,2137.2
0.0,148.631,2157.2
0.0,149.333,2168.2
0.0,150.038,2169.2
0.0,150.744,2165.2
0.0,151.482,2048.5
0.0,152.246,1864.5
0.0,152.942,1890.2
0.0,153.629,1943.5
0.0,154.316,2002.2
0.0,154.994,2094.5
0.0,155.7,2090.2
0.0,156.409,2079.2
0.0,157.117,2066.2
0.0,157.826,2056.2
0.0,158.533,2047.2
0.0,159.241,2038.2
0.0,159.949,2029.2
0.0,160.657,2019.2
0.0,161.364,2012.2
0.0,162.071,2006.2
0.0,162.779,1997.2
0.0,163.486,1991.2
0.0,164.194,1983.2
0.0,164.901,1976.2
0.0,165.608,1970.2
0.0,166.315,1964.2
0.0,167.022,1959.2
0.0,167.728,1956.2
0.0,168.435,1951.2
0.0,169.141,1948.2
0.0,169.847,1943.2
0.0,170.555,1937.2
0.0,171.261,1934.2
0.0,171.967,1931.2
0.0,172.672,1931.2
0.0,173.379,1925.2
0.0,174.084,1925.2
0.0,174.804,1923.2
0.0,175.515,1924.2
0.0,176.227,1923.2
0.0,176.939,1921.2
0.0,177.651,1919.2
0.0,178.363,1919.2
0.0,179.074,1920.2
0.0,179.786,1919.2
0.0,180.497,1920.2
0.0,181.208,1920.2
0.0,181.92,1921.2
0.0,182.63,1925.2
0.0,183.342,1924.2
0.0,184.053,1925.2
0.0,184.764,1927.2
0.0,185.475,1928.2
0.0,186.185,1932.2
0.0,186.895,1937.2
0.0,187.606,1939.2
0.0,188.316,1944.2
0.0,189.026,1948.2
0.0,189.736,1952.2
0.0,190.447,1956.2
0.0,191.156,1963.2
0.0,191.868,1962.2
0.0,200.37,147.5
0.0,201.503,140.5
0.0,202.629,134.2
0.0,203.775,128.2
0.0,204.964,122.2
0.0,332.735,251.5
0.0,332.773,290.5
0.0,331.596,1265.5
0.0,332.147,1498.5
0.0,332.344,3904.5
0.75,359.685,2419.5
0.75,0.471,2082.5
0.75,1.18,2062.2
0.75,1.883,2062.2
0.75,2.588,2059.2
0.75,3.295,2046.2
0.75,4.0,2043.2
0.75,4.703,2043.2
0.75,5.405,2047.2
0.75,6.123,2050.2
0.75,6.822,2054.2
0.75,7.522,2058.2
0.75,8.221,2060.2
0.75,8.92,2066.2
0.75,9.619,2069.2
0.75,10.319,2073.2
0.75,11.018,2077.2
0.75,11.717,2082.2
0.75,12.419,2074.2
0.75,13.122,2067.2
0.75,13.821,2071.2
0.75,14.509,2115.2
0.75,15.199,2153.2
0.75,15.903,2140.2
0.75,16.604,2136.2
0.75,17.303,2141.2
0.75,18.002,2146.2
0.75,18.7,2154.2
0.75,19.398,2162.2
0.75,20.096,2172.2
0.75,20.792,2188.2
0.75,21.496,2173.2
0.75,22.197,2173.2
0.75,22.81,2570.5
0.75,23.509,2576.2
0.75,24.211,2568.2
0.75,24.915,2550.2
0.75,25.62,2522.2
0.75,26.334,2456.5
0.75,27.046,2398.2
0.75,27.759,2339.2
0.75,28.472,2284.2
0.75,29.184,2236.2
0.75,29.896,2190.2
0.75,30.608,2144.2
0.75,31.321,2100.2
0.75,32.032,2061.2
0.75,32.744,2021.2
0.75,33.456,1983.2
0.75,34.185,1951.2
0.75,34.897,1915.2
0.75,35.609,1882.2
0.75,36.321,1849.2
0.75,37.031,1821.2
0.75,37.742,1792.2
0.75,38.454,1764.2
0.75,39.165,1736.2
0.75,39.875,1712.2
0.75,40.587,1685.2
0.75,41.297,1663.2
0.75,42.007,1641.2
0.75,42.718,1619.2
0.75,43.429,1597.2
0.75,44.139,1577.2
0.75,44.85,1556.2
0.75,45.56,1537.2
0.75,46.27,1518.2
0.75,46.98,1500.2
0.75,47.689,1484.2
0.75,48.399,1468.2
0.75,49.108,1453.2
0.75,49.816,1439.2
0.75,50.525,1424.2
0.75,51.235,1409.2
0.75,51.944,1395.2
0.75,52.652,1383.2
0.75,53.361,1370.2
0.75,54.07,1357.2
0.75,54.776,1348.2
0.75,55.485,1336.2
0.75,56.192,1326.2
0.75,56.9,1315.2
0.75,57.607,1305.2
0.75,58.316,1294.2
0.75,59.023,1284.2
0.75,59.73,1276.2
0.75,60.438,1266.2
